id,region,month,year,no_of_tourists
913,Bhaktapur,July,2025,19
914,Kathmandu,June,2025,15
915,Lumbini,August,2025,40
916,Lalitpur,January,2025,27
917,Lumbini,December,2025,26
918,Mustang,December,2025,33
919,Lalitpur,January,2025,50
920,Pokhara,March,2025,16
921,Pokhara,May,2025,24
922,Janakpur,November,2025,19
923,Janakpur,April,2025,36
924,Pokhara,March,2025,36
925,Kathmandu,November,2025,45
926,Janakpur,September,2025,26
927,Kathmandu,October,2025,39
928,Lalitpur,November,2025,50
929,Chitwan,March,2025,27
930,Mustang,January,2025,8
931,Mustang,February,2025,38
932,Nagarkot,May,2025,24
933,Lalitpur,June,2025,32
934,Lalitpur,August,2025,25
935,Mustang,May,2025,7
936,Ilam,September,2025,16
937,Pokhara,November,2025,37
938,Lumbini,January,2025,48
939,Mustang,May,2025,42
940,Ilam,March,2025,43
941,Janakpur,March,2025,33
942,Pokhara,October,2025,31
943,Lalitpur,September,2025,28
944,Lalitpur,October,2025,12
945,Nagarkot,August,2025,10
946,Janakpur,April,2025,35
947,Nagarkot,May,2025,19
948,Ilam,November,2025,17
949,Chitwan,April,2025,50
950,Janakpur,March,2025,21
951,Chitwan,September,2025,38
952,Pokhara,January,2025,27
953,Lalitpur,September,2025,21
954,Lalitpur,February,2025,44
955,Janakpur,September,2025,33
956,Janakpur,December,2025,32
957,Chitwan,May,2025,7
958,Chitwan,January,2025,41
959,Chitwan,April,2025,20
960,Ilam,March,2025,50
961,Bhaktapur,December,2025,13
962,Lumbini,March,2025,36
963,Kathmandu,July,2025,14
964,Pokhara,June,2025,29
965,Nagarkot,February,2025,38
966,Lumbini,May,2025,45
967,Kathmandu,June,2025,23
968,Bhaktapur,January,2025,14
969,Janakpur,March,2025,15
970,Ilam,March,2025,14
971,Kathmandu,March,2025,12
972,Kathmandu,June,2025,21
973,Bhaktapur,June,2025,10
974,Lalitpur,November,2025,18
975,Bhaktapur,February,2025,33
976,Nagarkot,December,2025,7
977,Pokhara,April,2025,29
978,Pokhara,August,2025,16
979,Bhaktapur,November,2025,48
980,Lumbini,May,2025,13
981,Chitwan,January,2025,39
982,Janakpur,March,2025,6
983,Lalitpur,February,2025,46
984,Chitwan,September,2025,47
985,Nagarkot,February,2025,38
986,Mustang,September,2025,26
987,Pokhara,April,2025,38
988,Janakpur,February,2025,15
989,Janakpur,March,2025,47
990,Janakpur,July,2025,16
991,Mustang,November,2025,27
992,Chitwan,March,2025,29
993,Mustang,June,2025,12
994,Kathmandu,May,2025,28
995,Janakpur,November,2025,50
996,Ilam,September,2025,8
997,Janakpur,February,2025,6
998,Bhaktapur,July,2025,32
999,Pokhara,September,2025,18
1000,Chitwan,November,2025,36
1001,Chitwan,March,2025,35
1002,Nagarkot,March,2025,20
1003,Lumbini,May,2025,37
1004,Bhaktapur,May,2025,47
1005,Nagarkot,March,2025,40
1006,Bhaktapur,December,2025,35
1007,Pokhara,May,2025,5
1008,Pokhara,April,2025,23
1009,Lalitpur,October,2025,43
1010,Bhaktapur,May,2025,42
1011,Mustang,July,2025,48
1012,Chitwan,September,2025,24
1013,Mustang,November,2025,36
1014,Pokhara,April,2025,8
1015,Kathmandu,July,2025,42
1016,Ilam,January,2025,47
1017,Ilam,February,2025,50
1018,Ilam,October,2025,31
1019,Chitwan,February,2025,49
1020,Ilam,September,2025,15
1021,Pokhara,February,2025,16
1022,Janakpur,April,2025,18
1023,Chitwan,December,2025,38
1024,Ilam,January,2025,23
1025,Nagarkot,December,2025,28
1026,Mustang,September,2025,23
1027,Lumbini,June,2025,47
1028,Janakpur,January,2025,39
1029,Lumbini,April,2025,46
1030,Nagarkot,December,2025,24
1031,Lumbini,March,2025,27
1032,Pokhara,December,2025,28
1033,Lalitpur,June,2025,42
1034,Bhaktapur,November,2025,19
1035,Chitwan,November,2025,30
1036,Bhaktapur,September,2025,49
1037,Ilam,November,2025,24
1038,Janakpur,October,2025,27
1039,Chitwan,December,2025,30
1040,Nagarkot,May,2025,44
1041,Lumbini,November,2025,42
1042,Mustang,June,2025,22
1043,Pokhara,February,2025,47
1044,Mustang,November,2025,5
1045,Mustang,March,2025,18
1046,Janakpur,August,2025,48
1047,Bhaktapur,December,2025,24
1048,Bhaktapur,January,2025,48
1049,Lumbini,January,2025,8
1050,Bhaktapur,March,2025,10
1051,Pokhara,May,2025,20
1052,Pokhara,March,2025,46
1053,Nagarkot,September,2025,44
1054,Nagarkot,February,2025,6
1055,Chitwan,March,2025,8
1056,Mustang,April,2025,18
1057,Chitwan,October,2025,41
1058,Lumbini,March,2025,32
1059,Ilam,April,2025,48
1060,Kathmandu,February,2025,35
1061,Ilam,March,2025,11
1062,Bhaktapur,January,2025,16
1063,Kathmandu,July,2025,42
1064,Ilam,October,2025,32
1065,Ilam,December,2025,48
1066,Nagarkot,November,2025,38
1067,Bhaktapur,March,2025,16
1068,Janakpur,October,2025,26
1069,Janakpur,September,2025,42
1070,Lalitpur,April,2025,45
1071,Lumbini,July,2025,21
1072,Janakpur,February,2025,41
1073,Pokhara,September,2025,26
1074,Pokhara,March,2025,31
1075,Bhaktapur,August,2025,47
1076,Ilam,February,2025,32
1077,Nagarkot,March,2025,34
1078,Ilam,February,2025,37
1079,Janakpur,July,2025,9
1080,Kathmandu,January,2025,21
1081,Lalitpur,August,2025,30
1082,Ilam,May,2025,7
1083,Pokhara,January,2025,24
1084,Chitwan,March,2025,42
1085,Mustang,January,2025,23
1086,Lalitpur,May,2025,22
1087,Chitwan,August,2025,12
1088,Kathmandu,February,2025,15
1089,Ilam,August,2025,26
1090,Mustang,October,2025,37
1091,Pokhara,January,2025,25
1092,Kathmandu,February,2025,49
1093,Chitwan,October,2025,45
1094,Nagarkot,June,2025,25
1095,Bhaktapur,March,2025,33
1096,Lalitpur,November,2025,7
1097,Kathmandu,November,2025,20
1098,Janakpur,October,2025,41
1099,Kathmandu,December,2025,17
1100,Lumbini,July,2025,20
1101,Janakpur,April,2025,18
1102,Mustang,February,2025,40
1103,Kathmandu,February,2025,49
1104,Chitwan,February,2025,15
1105,Nagarkot,December,2025,48
1106,Nagarkot,March,2025,18
1107,Lalitpur,January,2025,23
1108,Lalitpur,March,2025,24
1109,Lalitpur,February,2025,18
1110,Mustang,June,2025,24
1111,Lalitpur,July,2025,34
1112,Pokhara,August,2025,33
1113,Lalitpur,July,2025,44
1114,Ilam,March,2025,12
1115,Kathmandu,October,2025,14
1116,Kathmandu,April,2025,47
1117,Nagarkot,December,2025,9
1118,Nagarkot,May,2025,45
1119,Chitwan,December,2025,36
1120,Lalitpur,August,2025,7
1121,Janakpur,October,2025,18
1122,Mustang,December,2025,24
1123,Chitwan,September,2025,45
1124,Lumbini,December,2025,28
1125,Lalitpur,September,2025,37
1126,Lumbini,April,2025,33
1127,Mustang,July,2025,34
1128,Nagarkot,August,2025,43
1129,Mustang,December,2025,39
1130,Lalitpur,May,2025,39
1131,Bhaktapur,January,2025,49
1132,Ilam,February,2025,10
1133,Janakpur,October,2025,25
1134,Bhaktapur,December,2025,43
1135,Nagarkot,July,2025,31
1136,Lumbini,January,2025,10
1137,Pokhara,November,2025,7
1138,Mustang,August,2025,8
1139,Lalitpur,September,2025,5
1140,Chitwan,September,2025,16
1141,Nagarkot,February,2025,23
1142,Pokhara,October,2025,26
1143,Ilam,January,2025,19
1144,Nagarkot,May,2025,35
1145,Mustang,April,2025,39
1146,Janakpur,May,2025,47
1147,Kathmandu,July,2025,6
1148,Ilam,September,2025,38
1149,Lumbini,September,2025,32
1150,Lumbini,November,2025,48
1151,Chitwan,December,2025,42
1152,Janakpur,May,2025,13
1153,Ilam,July,2025,31
1154,Janakpur,May,2025,7
1155,Ilam,June,2025,50
1156,Lalitpur,July,2025,36
1157,Bhaktapur,April,2025,45
1158,Lalitpur,April,2025,13
1159,Ilam,April,2025,42
1160,Janakpur,March,2025,5
1161,Bhaktapur,July,2025,10
1162,Mustang,July,2025,47
1163,Ilam,August,2025,21
1164,Bhaktapur,April,2025,16
1165,Kathmandu,July,2025,45
1166,Lumbini,August,2025,38
1167,Kathmandu,April,2025,34
1168,Bhaktapur,May,2025,25
1169,Lumbini,July,2025,19
1170,Chitwan,September,2025,25
1171,Pokhara,July,2025,23
1172,Chitwan,December,2025,42
1173,Pokhara,April,2025,13
1174,Nagarkot,February,2025,43
1175,Kathmandu,June,2025,37
1176,Bhaktapur,March,2025,17
1177,Nagarkot,December,2025,18
1178,Janakpur,June,2025,7
1179,Chitwan,December,2025,25
1180,Ilam,June,2025,14
1181,Kathmandu,November,2025,38
1182,Mustang,September,2025,34
1183,Lalitpur,January,2025,22
1184,Bhaktapur,November,2025,9
1185,Pokhara,August,2025,38
1186,Mustang,May,2025,12
1187,Chitwan,November,2025,24
1188,Mustang,January,2025,33
1189,Lumbini,May,2025,43
1190,Pokhara,August,2025,29
1191,Mustang,December,2025,15
1192,Lumbini,January,2025,45
1193,Nagarkot,January,2025,43
1194,Lalitpur,August,2025,39
1195,Ilam,June,2025,19
1196,Pokhara,August,2025,29
1197,Bhaktapur,November,2025,18
1198,Ilam,June,2025,44
1199,Mustang,August,2025,37
1200,Pokhara,January,2025,35
